start
vertice: 3402: pai:2 nivel:1
vertice: 3401: pai:2 nivel:1
vertice: 329: pai:2 nivel:1
vertice: 15264: pai:2 nivel:1
vertice: 15079: pai:2 nivel:1
vertice: 3273: pai:2 nivel:1
vertice: 13771: pai:2 nivel:1
vertice: 3404: pai:2 nivel:1
vertice: 15311: pai:2 nivel:1
vertice: 15318: pai:2 nivel:1
vertice: 15321: pai:2 nivel:1
vertice: 15327: pai:2 nivel:1
vertice: 15312: pai:2 nivel:1
vertice: 6222: pai:2 nivel:1
vertice: 6223: pai:2 nivel:1
vertice: 6227: pai:2 nivel:1
vertice: 6232: pai:2 nivel:1
vertice: 6233: pai:2 nivel:1
vertice: 15363: pai:2 nivel:1
vertice: 15382: pai:2 nivel:1
vertice: 6238: pai:2 nivel:1
vertice: 2310: pai:2 nivel:1
vertice: 15345: pai:2 nivel:1
vertice: 15398: pai:2 nivel:1
vertice: 2311: pai:2 nivel:1
vertice: 15386: pai:2 nivel:1
vertice: 6225: pai:2 nivel:1
vertice: 15400: pai:2 nivel:1
vertice: 15404: pai:2 nivel:1
vertice: 3417: pai:2 nivel:1
vertice: 381: pai:2 nivel:1
vertice: 15432: pai:2 nivel:1
vertice: 3418: pai:2 nivel:1
vertice: 15440: pai:2 nivel:1
vertice: 6243: pai:2 nivel:1
vertice: 6242: pai:2 nivel:1
vertice: 15451: pai:2 nivel:1
vertice: 6265: pai:2 nivel:1
vertice: 6275: pai:2 nivel:1
vertice: 6273: pai:2 nivel:1
vertice: 3422: pai:2 nivel:1
vertice: 6267: pai:2 nivel:1
vertice: 15533: pai:2 nivel:1
vertice: 6286: pai:2 nivel:1
vertice: 15537: pai:2 nivel:1
vertice: 15572: pai:2 nivel:1
vertice: 6298: pai:2 nivel:1
vertice: 3429: pai:2 nivel:1
vertice: 3430: pai:2 nivel:1
vertice: 1034: pai:2 nivel:1
vertice: 3447: pai:2 nivel:1
vertice: 15541: pai:2 nivel:1
vertice: 3428: pai:2 nivel:1
vertice: 6446: pai:2 nivel:1
vertice: 15986: pai:2 nivel:1
vertice: 15497: pai:2 nivel:1
vertice: 15459: pai:2 nivel:1
vertice: 6258: pai:2 nivel:1
vertice: 6449: pai:2 nivel:1
vertice: 2350: pai:2 nivel:1
vertice: 16011: pai:2 nivel:1
vertice: 16012: pai:2 nivel:1
vertice: 6458: pai:2 nivel:1
vertice: 691: pai:2 nivel:1
vertice: 15992: pai:2 nivel:1
vertice: 16029: pai:2 nivel:1
vertice: 16017: pai:2 nivel:1
vertice: 16034: pai:2 nivel:1
vertice: 6476: pai:2 nivel:1
vertice: 16053: pai:2 nivel:1
vertice: 11936: pai:2 nivel:1
vertice: 3491: pai:2 nivel:1
vertice: 16070: pai:2 nivel:1
vertice: 1758: pai:2 nivel:1
vertice: 16080: pai:2 nivel:1
vertice: 3495: pai:2 nivel:1
vertice: 16107: pai:2 nivel:1
vertice: 16100: pai:2 nivel:1
vertice: 6496: pai:2 nivel:1
vertice: 11937: pai:2 nivel:1
vertice: 4746: pai:2 nivel:1
vertice: 6460: pai:2 nivel:1
vertice: 6505: pai:2 nivel:1
vertice: 2361: pai:2 nivel:1
vertice: 16121: pai:2 nivel:1
vertice: 6506: pai:2 nivel:1
vertice: 3499: pai:2 nivel:1
vertice: 1782: pai:2 nivel:1
vertice: 6501: pai:2 nivel:1
vertice: 11938: pai:2 nivel:1
vertice: 4747: pai:2 nivel:1
vertice: 6510: pai:2 nivel:1
vertice: 6514: pai:2 nivel:1
vertice: 6517: pai:2 nivel:1
vertice: 425: pai:2 nivel:1
vertice: 16149: pai:2 nivel:1
vertice: 823: pai:2 nivel:1
vertice: 16183: pai:2 nivel:1
vertice: 16173: pai:2 nivel:1
vertice: 16167: pai:2 nivel:1
vertice: 16162: pai:2 nivel:1
vertice: 6531: pai:2 nivel:1
vertice: 6533: pai:2 nivel:1
vertice: 16184: pai:2 nivel:1
vertice: 6534: pai:2 nivel:1
vertice: 4748: pai:2 nivel:1
vertice: 16203: pai:2 nivel:1
vertice: 16199: pai:2 nivel:1
vertice: 16191: pai:2 nivel:1
vertice: 2363: pai:2 nivel:1
vertice: 16147: pai:2 nivel:1
vertice: 16137: pai:2 nivel:1
vertice: 16108: pai:2 nivel:1
vertice: 15329: pai:2 nivel:1
vertice: 6552: pai:2 nivel:1
vertice: 3511: pai:2 nivel:1
vertice: 6559: pai:2 nivel:1
vertice: 11939: pai:2 nivel:1
vertice: 4751: pai:2 nivel:1
vertice: 16255: pai:2 nivel:1
vertice: 2881: pai:2 nivel:1
vertice: 16241: pai:2 nivel:1
vertice: 6588: pai:2 nivel:1
vertice: 6583: pai:2 nivel:1
vertice: 16270: pai:2 nivel:1
vertice: 16291: pai:2 nivel:1
vertice: 1423: pai:2 nivel:1
vertice: 1784: pai:2 nivel:1
vertice: 16297: pai:2 nivel:1
vertice: 6593: pai:2 nivel:1
vertice: 2372: pai:2 nivel:1
vertice: 6594: pai:2 nivel:1
vertice: 6590: pai:2 nivel:1
vertice: 16263: pai:2 nivel:1
vertice: 6562: pai:2 nivel:1
vertice: 16328: pai:2 nivel:1
vertice: 16340: pai:2 nivel:1
vertice: 2375: pai:2 nivel:1
vertice: 16309: pai:2 nivel:1
vertice: 16358: pai:2 nivel:1
vertice: 6611: pai:2 nivel:1
vertice: 2378: pai:2 nivel:1
vertice: 16359: pai:2 nivel:1
vertice: 16380: pai:2 nivel:1
vertice: 3527: pai:2 nivel:1
vertice: 1426: pai:2 nivel:1
vertice: 2058: pai:2 nivel:1
vertice: 1203: pai:2 nivel:1
vertice: 1434: pai:2 nivel:1
vertice: 6859: pai:2 nivel:1
vertice: 82: pai:2 nivel:1
vertice: 16747: pai:2 nivel:1
vertice: 4758: pai:2 nivel:1
vertice: 16766: pai:2 nivel:1
vertice: 6873: pai:2 nivel:1
vertice: 3600: pai:2 nivel:1
vertice: 6872: pai:2 nivel:1
vertice: 6862: pai:2 nivel:1
vertice: 6861: pai:2 nivel:1
vertice: 3602: pai:2 nivel:1
vertice: 16834: pai:2 nivel:1
vertice: 16812: pai:2 nivel:1
vertice: 16849: pai:2 nivel:1
vertice: 16853: pai:2 nivel:1
vertice: 2416: pai:2 nivel:1
vertice: 11677: pai:2 nivel:1
vertice: 16808: pai:2 nivel:1
vertice: 16802: pai:2 nivel:1
vertice: 2421: pai:2 nivel:1
vertice: 342: pai:2 nivel:1
vertice: 6899: pai:2 nivel:1
vertice: 16801: pai:2 nivel:1
vertice: 11981: pai:2 nivel:1
vertice: 16867: pai:2 nivel:1
vertice: 16796: pai:2 nivel:1
vertice: 6906: pai:2 nivel:1
vertice: 2423: pai:2 nivel:1
vertice: 16885: pai:2 nivel:1
vertice: 2427: pai:2 nivel:1
vertice: 4698: pai:2 nivel:1
vertice: 6918: pai:2 nivel:1
vertice: 3607: pai:2 nivel:1
vertice: 16913: pai:2 nivel:1
vertice: 6911: pai:2 nivel:1
vertice: 16871: pai:2 nivel:1
vertice: 16870: pai:2 nivel:1
vertice: 16795: pai:2 nivel:1
vertice: 16756: pai:2 nivel:1
vertice: 16921: pai:2 nivel:1
vertice: 16924: pai:2 nivel:1
vertice: 16927: pai:2 nivel:1
vertice: 16915: pai:2 nivel:1
vertice: 6926: pai:2 nivel:1
vertice: 6928: pai:2 nivel:1
vertice: 16966: pai:2 nivel:1
vertice: 16950: pai:2 nivel:1
vertice: 16929: pai:2 nivel:1
vertice: 16974: pai:2 nivel:1
vertice: 2428: pai:2 nivel:1
vertice: 16386: pai:2 nivel:1
vertice: 6610: pai:2 nivel:1
vertice: 6551: pai:2 nivel:1
vertice: 17018: pai:2 nivel:1
vertice: 133: pai:2 nivel:1
vertice: 16993: pai:2 nivel:1
vertice: 6959: pai:2 nivel:1
vertice: 6961: pai:2 nivel:1
vertice: 17048: pai:2 nivel:1
vertice: 6972: pai:2 nivel:1
vertice: 17071: pai:2 nivel:1
vertice: 3615: pai:2 nivel:1
vertice: 17067: pai:2 nivel:1
vertice: 1806: pai:2 nivel:1
vertice: 17058: pai:2 nivel:1
vertice: 17041: pai:2 nivel:1
vertice: 17038: pai:2 nivel:1
vertice: 6986: pai:2 nivel:1
vertice: 321: pai:2 nivel:1
vertice: 6992: pai:2 nivel:1
vertice: 3619: pai:2 nivel:1
vertice: 17091: pai:2 nivel:1
vertice: 6984: pai:2 nivel:1
vertice: 6957: pai:2 nivel:1
vertice: 17096: pai:2 nivel:1
vertice: 2436: pai:2 nivel:1
vertice: 17110: pai:2 nivel:1
vertice: 11991: pai:2 nivel:1
vertice: 7003: pai:2 nivel:1
vertice: 6997: pai:2 nivel:1
vertice: 7004: pai:2 nivel:1
vertice: 7006: pai:2 nivel:1
vertice: 17121: pai:2 nivel:1
vertice: 17109: pai:2 nivel:1
vertice: 7012: pai:2 nivel:1
vertice: 7017: pai:2 nivel:1
vertice: 17158: pai:2 nivel:1
vertice: 7024: pai:2 nivel:1
vertice: 17188: pai:2 nivel:1
vertice: 7022: pai:2 nivel:1
vertice: 17192: pai:2 nivel:1
vertice: 17191: pai:2 nivel:1
vertice: 7023: pai:2 nivel:1
vertice: 7019: pai:2 nivel:1
vertice: 17215: pai:2 nivel:1
vertice: 7033: pai:2 nivel:1
vertice: 17231: pai:2 nivel:1
vertice: 17236: pai:2 nivel:1
vertice: 7047: pai:2 nivel:1
vertice: 3623: pai:2 nivel:1
vertice: 17167: pai:2 nivel:1
vertice: 7009: pai:2 nivel:1
vertice: 7053: pai:2 nivel:1
vertice: 17274: pai:2 nivel:1
vertice: 7056: pai:2 nivel:1
vertice: 7062: pai:2 nivel:1
vertice: 17276: pai:2 nivel:1
vertice: 7064: pai:2 nivel:1
vertice: 7068: pai:2 nivel:1
vertice: 7061: pai:2 nivel:1
vertice: 17271: pai:2 nivel:1
vertice: 17258: pai:2 nivel:1
vertice: 17307: pai:2 nivel:1
vertice: 3628: pai:2 nivel:1
vertice: 17333: pai:2 nivel:1
vertice: 17311: pai:2 nivel:1
vertice: 3635: pai:2 nivel:1
vertice: 3636: pai:2 nivel:1
vertice: 17344: pai:2 nivel:1
vertice: 17299: pai:2 nivel:1
vertice: 7088: pai:2 nivel:1
vertice: 1819: pai:2 nivel:1
vertice: 17389: pai:2 nivel:1
vertice: 4770: pai:2 nivel:1
vertice: 17384: pai:2 nivel:1
vertice: 17370: pai:2 nivel:1
vertice: 7113: pai:2 nivel:1
vertice: 3643: pai:2 nivel:1
vertice: 2887: pai:2 nivel:1
vertice: 17436: pai:2 nivel:1
vertice: 17401: pai:2 nivel:1
vertice: 17464: pai:2 nivel:1
vertice: 7134: pai:2 nivel:1
vertice: 17446: pai:2 nivel:1
vertice: 17360: pai:2 nivel:1
vertice: 17487: pai:2 nivel:1
vertice: 1818: pai:2 nivel:1
vertice: 17526: pai:2 nivel:1
vertice: 7152: pai:2 nivel:1
vertice: 7142: pai:2 nivel:1
vertice: 1442: pai:2 nivel:1
vertice: 7160: pai:2 nivel:1
vertice: 17495: pai:2 nivel:1
